amplitude,n,type,MSE,MAPE
0.0,0,abstract,inf,inf
0.0,0,classical,inf,inf
0.0,1,abstract,inf,inf
0.0,1,classical,inf,inf
0.0,2,abstract,inf,inf
0.0,2,classical,inf,inf
0.0,3,abstract,inf,inf
0.0,3,classical,inf,inf
0.0,4,abstract,inf,inf
0.0,4,classical,inf,inf
0.0,5,abstract,inf,inf
0.0,5,classical,inf,inf
0.0,6,abstract,inf,inf
0.0,6,classical,inf,inf
0.0,7,abstract,inf,inf
0.0,7,classical,inf,inf
0.0,8,abstract,inf,inf
0.0,8,classical,inf,inf
0.0,9,abstract,inf,inf
0.0,9,classical,inf,inf
0.0,10,abstract,inf,inf
0.0,10,classical,inf,inf
0.0,11,abstract,inf,inf
0.0,11,classical,inf,inf
0.0,12,abstract,inf,inf
0.0,12,classical,inf,inf
0.0,13,abstract,inf,inf
0.0,13,classical,inf,inf
0.0,14,abstract,inf,inf
0.0,14,classical,inf,inf
0.0,15,abstract,inf,inf
0.0,15,classical,inf,inf
0.0,16,abstract,inf,inf
0.0,16,classical,inf,inf
0.0,17,abstract,inf,inf
0.0,17,classical,inf,inf
0.0,18,abstract,inf,inf
0.0,18,classical,inf,inf
0.0,19,abstract,inf,inf
0.0,19,classical,inf,inf
0.0,20,abstract,inf,inf
0.0,20,classical,inf,inf
0.0,21,abstract,inf,inf
0.0,21,classical,inf,inf
0.0,22,abstract,inf,inf
0.0,22,classical,inf,inf
0.0,23,abstract,inf,inf
0.0,23,classical,inf,inf
0.0,24,abstract,inf,inf
0.0,24,classical,inf,inf
0.0,25,abstract,inf,inf
0.0,25,classical,inf,inf
0.0,26,abstract,inf,inf
0.0,26,classical,inf,inf
0.0,27,abstract,inf,inf
0.0,27,classical,inf,inf
0.0,28,abstract,inf,inf
0.0,28,classical,inf,inf
0.0,29,abstract,inf,inf
0.0,29,classical,inf,inf
0.0,30,abstract,inf,inf
0.0,30,classical,inf,inf
0.0,31,abstract,inf,inf
0.0,31,classical,inf,inf
0.0,32,abstract,inf,inf
